domain_id,slide_name,proportion_of_spots,predicted_cluster,prediction_score
1_#_Ronai_BRCA_033_DM-9606-3-001.svs,Ronai_BRCA_033_DM-9606-3-001.svs,0.150909090909091,Cluster_8,
4_#_Ronai_BRCA_033_DM-9606-3-001.svs,Ronai_BRCA_033_DM-9606-3-001.svs,0.137272727272727,Cluster_1,
3_#_Ronai_BRCA_033_DM-9606-3-001.svs,Ronai_BRCA_033_DM-9606-3-001.svs,0.124545454545455,Cluster_6,
8_#_Ronai_BRCA_033_DM-9606-3-001.svs,Ronai_BRCA_033_DM-9606-3-001.svs,0.116363636363636,Cluster_9,
2_#_Ronai_BRCA_033_DM-9606-3-001.svs,Ronai_BRCA_033_DM-9606-3-001.svs,0.112727272727273,Cluster_8,
6_#_Ronai_BRCA_033_DM-9606-3-001.svs,Ronai_BRCA_033_DM-9606-3-001.svs,0.100909090909091,Cluster_6,
5_#_Ronai_BRCA_033_DM-9606-3-001.svs,Ronai_BRCA_033_DM-9606-3-001.svs,0.0954545454545455,Cluster_8,
0_#_Ronai_BRCA_033_DM-9606-3-001.svs,Ronai_BRCA_033_DM-9606-3-001.svs,0.0836363636363636,Cluster_1,
7_#_Ronai_BRCA_033_DM-9606-3-001.svs,Ronai_BRCA_033_DM-9606-3-001.svs,0.0781818181818182,Cluster_1,
0_#_Ronai_BRCA_007_DM-9606-009.svs,Ronai_BRCA_007_DM-9606-009.svs,0.247669773635153,Cluster_4,
1_#_Ronai_BRCA_007_DM-9606-009.svs,Ronai_BRCA_007_DM-9606-009.svs,0.207723035952064,Cluster_8,
2_#_Ronai_BRCA_007_DM-9606-009.svs,Ronai_BRCA_007_DM-9606-009.svs,0.174434087882823,Cluster_8,
3_#_Ronai_BRCA_007_DM-9606-009.svs,Ronai_BRCA_007_DM-9606-009.svs,0.135818908122503,Cluster_10,
5_#_Ronai_BRCA_007_DM-9606-009.svs,Ronai_BRCA_007_DM-9606-009.svs,0.130492676431425,Cluster_2,
4_#_Ronai_BRCA_007_DM-9606-009.svs,Ronai_BRCA_007_DM-9606-009.svs,0.103861517976032,Cluster_2,
1_#_Ronai_BRCA_035_DM-9606-3-003.svs,Ronai_BRCA_035_DM-9606-3-003.svs,0.229634831460674,Cluster_10,
2_#_Ronai_BRCA_035_DM-9606-3-003.svs,Ronai_BRCA_035_DM-9606-3-003.svs,0.20435393258427,Cluster_10,
0_#_Ronai_BRCA_035_DM-9606-3-003.svs,Ronai_BRCA_035_DM-9606-3-003.svs,0.201544943820225,Cluster_10,
4_#_Ronai_BRCA_035_DM-9606-3-003.svs,Ronai_BRCA_035_DM-9606-3-003.svs,0.125,Cluster_4,
3_#_Ronai_BRCA_035_DM-9606-3-003.svs,Ronai_BRCA_035_DM-9606-3-003.svs,0.122191011235955,Cluster_10,
5_#_Ronai_BRCA_035_DM-9606-3-003.svs,Ronai_BRCA_035_DM-9606-3-003.svs,0.0730337078651685,Cluster_5,
6_#_Ronai_BRCA_035_DM-9606-3-003.svs,Ronai_BRCA_035_DM-9606-3-003.svs,0.0442415730337079,Cluster_10,
0_#_Ronai_BRCA_031_DM-9606-2-019.svs,Ronai_BRCA_031_DM-9606-2-019.svs,0.228033472803347,Cluster_4,
2_#_Ronai_BRCA_031_DM-9606-2-019.svs,Ronai_BRCA_031_DM-9606-2-019.svs,0.214086471408647,Cluster_4,
1_#_Ronai_BRCA_031_DM-9606-2-019.svs,Ronai_BRCA_031_DM-9606-2-019.svs,0.168061366806137,Cluster_4,
3_#_Ronai_BRCA_031_DM-9606-2-019.svs,Ronai_BRCA_031_DM-9606-2-019.svs,0.154114365411437,Cluster_4,
5_#_Ronai_BRCA_031_DM-9606-2-019.svs,Ronai_BRCA_031_DM-9606-2-019.svs,0.134588563458856,Cluster_4,
4_#_Ronai_BRCA_031_DM-9606-2-019.svs,Ronai_BRCA_031_DM-9606-2-019.svs,0.101115760111576,Cluster_5,
2_#_Ronai_BRCA_034_DM-9606-3-002.svs,Ronai_BRCA_034_DM-9606-3-002.svs,0.262490087232355,Cluster_10,
0_#_Ronai_BRCA_034_DM-9606-3-002.svs,Ronai_BRCA_034_DM-9606-3-002.svs,0.257731958762887,Cluster_10,
1_#_Ronai_BRCA_034_DM-9606-3-002.svs,Ronai_BRCA_034_DM-9606-3-002.svs,0.232355273592387,Cluster_10,
3_#_Ronai_BRCA_034_DM-9606-3-002.svs,Ronai_BRCA_034_DM-9606-3-002.svs,0.15146708961142,Cluster_10,
4_#_Ronai_BRCA_034_DM-9606-3-002.svs,Ronai_BRCA_034_DM-9606-3-002.svs,0.0959555908009516,Cluster_10,
0_#_Ronai_BRCA_028_DM-9606-2-014.svs,Ronai_BRCA_028_DM-9606-2-014.svs,0.213831478537361,Cluster_10,
2_#_Ronai_BRCA_028_DM-9606-2-014.svs,Ronai_BRCA_028_DM-9606-2-014.svs,0.14785373608903,Cluster_10,
5_#_Ronai_BRCA_028_DM-9606-2-014.svs,Ronai_BRCA_028_DM-9606-2-014.svs,0.135930047694754,Cluster_10,
4_#_Ronai_BRCA_028_DM-9606-2-014.svs,Ronai_BRCA_028_DM-9606-2-014.svs,0.121621621621622,Cluster_10,
1_#_Ronai_BRCA_028_DM-9606-2-014.svs,Ronai_BRCA_028_DM-9606-2-014.svs,0.104133545310016,Cluster_10,
3_#_Ronai_BRCA_028_DM-9606-2-014.svs,Ronai_BRCA_028_DM-9606-2-014.svs,0.102543720190779,Cluster_9,
6_#_Ronai_BRCA_028_DM-9606-2-014.svs,Ronai_BRCA_028_DM-9606-2-014.svs,0.0961844197138315,Cluster_10,
7_#_Ronai_BRCA_028_DM-9606-2-014.svs,Ronai_BRCA_028_DM-9606-2-014.svs,0.0779014308426073,Cluster_10,
0_#_Ronai_BRCA2_006_DM-9606-4-007.svs,Ronai_BRCA2_006_DM-9606-4-007.svs,0.172222222222222,Cluster_10,
1_#_Ronai_BRCA2_006_DM-9606-4-007.svs,Ronai_BRCA2_006_DM-9606-4-007.svs,0.158333333333333,Cluster_10,
3_#_Ronai_BRCA2_006_DM-9606-4-007.svs,Ronai_BRCA2_006_DM-9606-4-007.svs,0.158333333333333,Cluster_10,
2_#_Ronai_BRCA2_006_DM-9606-4-007.svs,Ronai_BRCA2_006_DM-9606-4-007.svs,0.154166666666667,Cluster_4,
5_#_Ronai_BRCA2_006_DM-9606-4-007.svs,Ronai_BRCA2_006_DM-9606-4-007.svs,0.116666666666667,Cluster_4,
4_#_Ronai_BRCA2_006_DM-9606-4-007.svs,Ronai_BRCA2_006_DM-9606-4-007.svs,0.0930555555555556,Cluster_4,
6_#_Ronai_BRCA2_006_DM-9606-4-007.svs,Ronai_BRCA2_006_DM-9606-4-007.svs,0.0916666666666667,Cluster_4,
7_#_Ronai_BRCA2_006_DM-9606-4-007.svs,Ronai_BRCA2_006_DM-9606-4-007.svs,0.0555555555555556,Cluster_2,
0_#_Ronai_BRCA2_004_DM-9606-4-005.svs,Ronai_BRCA2_004_DM-9606-4-005.svs,0.194029850746269,Cluster_1,
2_#_Ronai_BRCA2_004_DM-9606-4-005.svs,Ronai_BRCA2_004_DM-9606-4-005.svs,0.187141216991963,Cluster_1,
1_#_Ronai_BRCA2_004_DM-9606-4-005.svs,Ronai_BRCA2_004_DM-9606-4-005.svs,0.163030998851894,Cluster_9,
3_#_Ronai_BRCA2_004_DM-9606-4-005.svs,Ronai_BRCA2_004_DM-9606-4-005.svs,0.156142365097589,Cluster_8,
5_#_Ronai_BRCA2_004_DM-9606-4-005.svs,Ronai_BRCA2_004_DM-9606-4-005.svs,0.107921928817451,Cluster_1,
6_#_Ronai_BRCA2_004_DM-9606-4-005.svs,Ronai_BRCA2_004_DM-9606-4-005.svs,0.0964408725602755,Cluster_10,
4_#_Ronai_BRCA2_004_DM-9606-4-005.svs,Ronai_BRCA2_004_DM-9606-4-005.svs,0.095292766934558,Cluster_8,
0_#_Ronai_BRCA_018_DM-9606-2-001.svs,Ronai_BRCA_018_DM-9606-2-001.svs,0.199477351916376,Cluster_10,
5_#_Ronai_BRCA_018_DM-9606-2-001.svs,Ronai_BRCA_018_DM-9606-2-001.svs,0.162020905923345,Cluster_5,
