slide_name,SpatioType,confidence
Ronai_BRCA2_000_DM-9606-4-001.svs,Immune-Modulated,0.11490365870756311
Ronai_BRCA2_001_DM-9606-4-002.svs,Immune-Modulated,0.3157678170850018
Ronai_BRCA2_002_DM-9606-4-003.svs,Immune-Modulated,0.2783943751097361
Ronai_BRCA2_003_DM-9606-4-004.svs,Immune-Modulated,0.17216441424032236
Ronai_BRCA2_004_DM-9606-4-005.svs,Proliferative,0.060630973367083
Ronai_BRCA2_006_DM-9606-4-007.svs,Immune-Inactive,0.31797406148165125
Ronai_BRCA_000_DM-9606-001.svs,Immune-Modulated,0.00728128192023144
Ronai_BRCA_002_DM-9606-003.svs,Immune-Inactive,0.23307667550985822
Ronai_BRCA_003_DM-9606-004.svs,Immune-Inactive,0.014144875909926538
Ronai_BRCA_007_DM-9606-009.svs,Immune-Inactive,0.25734443851832023
Ronai_BRCA_010_DM-9606-012.svs,Immune-Inactive,0.06631093972454058
Ronai_BRCA_011_DM-9606-013.svs,Immune-Modulated,0.013341894711259406
Ronai_BRCA_014_DM-9606-016.svs,Immune-Inactive,0.09255261228761757
Ronai_BRCA_018_DM-9606-2-001.svs,Immune-Inactive,0.26895328630341353
Ronai_BRCA_021_DM-9606-2-007.svs,Proliferative,0.14313776213164453
Ronai_BRCA_022_DM-9606-2-008.svs,Immune-Modulated,0.07769582720672928
Ronai_BRCA_023_DM-9606-2-009.svs,Immune-Modulated,0.05911681229666667
Ronai_BRCA_024_DM-9606-2-010.svs,Immune-Inactive,0.24604289669917045
Ronai_BRCA_025_DM-9606-2-011.svs,Immune-Modulated,0.3398349918719153
Ronai_BRCA_027_DM-9606-2-013.svs,Immune-Inactive,0.24604289669917045
Ronai_BRCA_028_DM-9606-2-014.svs,Proliferative,0.35999529886563253
Ronai_BRCA_030_DM-9606-2-017.svs,Immune-Inactive,0.4177642060149878
Ronai_BRCA_031_DM-9606-2-019.svs,Immune-Inactive,0.12369112210001895
Ronai_BRCA_033_DM-9606-3-001.svs,Proliferative,0.017079747243713896
Ronai_BRCA_034_DM-9606-3-002.svs,Immune-Modulated,0.11800356453669746
Ronai_BRCA_035_DM-9606-3-003.svs,Immune-Inactive,0.010343423867510734
Ronai_BRCA_036_DM-9606-3-004.svs,Immune-Modulated,0.07004217461428634
Ronai_BRCA_037_DM-9606-3-005.svs,Immune-Inactive,0.24604289669917045
Ronai_BRCA_039_DM-9606-3-007.svs,Immune-Inactive,0.07479858050815977
Ronai_BRCA_040_DM-9606.svs,Immune-Inactive,0.38621214766219975
