domain_id,slide_name,proportion_of_spots,predicted_cluster,prediction_score
1_#_MB-7155,MB-7155,0.189725330620549,Cluster_4,
2_#_MB-7155,MB-7155,0.183112919633774,Cluster_10,
3_#_MB-7155,MB-7155,0.165310274669379,Cluster_7,
0_#_MB-7155,MB-7155,0.155645981688708,Cluster_7,
4_#_MB-7155,MB-7155,0.116988809766022,Cluster_10,
5_#_MB-7155,MB-7155,0.0981688708036623,Cluster_6,
6_#_MB-7155,MB-7155,0.0910478128179044,Cluster_6,
1_#_MB-7158,MB-7158,0.194926568758344,Cluster_10,
3_#_MB-7158,MB-7158,0.18958611481976,Cluster_6,
0_#_MB-7158,MB-7158,0.188251001335114,Cluster_6,
2_#_MB-7158,MB-7158,0.117489986648865,Cluster_10,
5_#_MB-7158,MB-7158,0.105473965287049,Cluster_6,
4_#_MB-7158,MB-7158,0.104138851802403,Cluster_6,
6_#_MB-7158,MB-7158,0.100133511348465,Cluster_10,
3_#_MB-7163,MB-7163,0.202429149797571,Cluster_6,
0_#_MB-7163,MB-7163,0.198380566801619,Cluster_6,
4_#_MB-7163,MB-7163,0.152496626180837,Cluster_10,
1_#_MB-7163,MB-7163,0.148448043184885,Cluster_6,
2_#_MB-7163,MB-7163,0.145748987854251,Cluster_6,
6_#_MB-7163,MB-7163,0.0782726045883941,Cluster_6,
5_#_MB-7163,MB-7163,0.0742240215924427,Cluster_6,
1_#_MB-7159,MB-7159,0.285714285714286,Cluster_10,
2_#_MB-7159,MB-7159,0.247104247104247,Cluster_7,
0_#_MB-7159,MB-7159,0.214285714285714,Cluster_10,
3_#_MB-7159,MB-7159,0.164092664092664,Cluster_6,
4_#_MB-7159,MB-7159,0.0888030888030888,Cluster_6,
1_#_MB-7165,MB-7165,0.212414578587699,Cluster_7,
3_#_MB-7165,MB-7165,0.195899772209567,Cluster_7,
0_#_MB-7165,MB-7165,0.190205011389522,Cluster_10,
2_#_MB-7165,MB-7165,0.160592255125285,Cluster_10,
4_#_MB-7165,MB-7165,0.152619589977221,Cluster_10,
5_#_MB-7165,MB-7165,0.0882687927107062,Cluster_6,
0_#_MB-7182,MB-7182,0.213891081294396,Cluster_6,
2_#_MB-7182,MB-7182,0.18232044198895,Cluster_10,
3_#_MB-7182,MB-7182,0.173638516179953,Cluster_6,
5_#_MB-7182,MB-7182,0.148382004735596,Cluster_10,
1_#_MB-7182,MB-7182,0.128650355169692,Cluster_10,
4_#_MB-7182,MB-7182,0.0947119179163378,Cluster_10,
6_#_MB-7182,MB-7182,0.058405682715075,Cluster_10,
0_#_MB-7187,MB-7187,0.172628304821151,Cluster_6,
3_#_MB-7187,MB-7187,0.163297045101089,Cluster_10,
4_#_MB-7187,MB-7187,0.15552099533437,Cluster_6,
1_#_MB-7187,MB-7187,0.139968895800933,Cluster_10,
5_#_MB-7187,MB-7187,0.108864696734059,Cluster_7,
2_#_MB-7187,MB-7187,0.102643856920684,Cluster_10,
7_#_MB-7187,MB-7187,0.088646967340591,Cluster_10,
6_#_MB-7187,MB-7187,0.0684292379471229,Cluster_10,
3_#_MB-7189,MB-7189,0.198581560283688,Cluster_6,
0_#_MB-7189,MB-7189,0.186170212765957,Cluster_6,
1_#_MB-7189,MB-7189,0.161347517730496,Cluster_6,
2_#_MB-7189,MB-7189,0.138297872340426,Cluster_6,
4_#_MB-7189,MB-7189,0.118794326241135,Cluster_6,
5_#_MB-7189,MB-7189,0.101063829787234,Cluster_6,
6_#_MB-7189,MB-7189,0.0957446808510638,Cluster_6,
0_#_MB-7194,MB-7194,0.180616740088106,Cluster_6,
4_#_MB-7194,MB-7194,0.145374449339207,Cluster_10,
1_#_MB-7194,MB-7194,0.143906020558003,Cluster_6,
2_#_MB-7194,MB-7194,0.121879588839941,Cluster_6,
3_#_MB-7194,MB-7194,0.121879588839941,Cluster_6,
5_#_MB-7194,MB-7194,0.113069016152717,Cluster_10,
6_#_MB-7194,MB-7194,0.0998531571218796,Cluster_6,
7_#_MB-7194,MB-7194,0.0734214390602056,Cluster_10,
0_#_MB-7112,MB-7112,0.238623751387347,Cluster_7,
1_#_MB-7112,MB-7112,0.223085460599334,Cluster_9,
2_#_MB-7112,MB-7112,0.197558268590455,Cluster_7,
3_#_MB-7112,MB-7112,0.172031076581576,Cluster_10,
4_#_MB-7112,MB-7112,0.168701442841287,Cluster_9,
2_#_MB-7119,MB-7119,0.168690958164642,Cluster_6,
0_#_MB-7119,MB-7119,0.155195681511471,Cluster_10,
3_#_MB-7119,MB-7119,0.15114709851552,Cluster_10,
1_#_MB-7119,MB-7119,0.149797570850202,Cluster_7,
5_#_MB-7119,MB-7119,0.139001349527665,Cluster_6,
4_#_MB-7119,MB-7119,0.134952766531714,Cluster_10,
