slide_name,SpatioType,confidence
MB-0008,Immune-Modulated,0.1891446359342766
MB-0050,Immune-Modulated,0.14497560742492707
MB-0060,Proliferative,0.2571038728351995
MB-0102,Immune-Modulated,0.18899262780975054
MB-0106,Immune-Modulated,0.14496468881020397
MB-0108,Immune-Modulated,0.14516411867073897
MB-0129,Immune-Modulated,0.18858782257124188
MB-0131,Immune-Modulated,0.1450099964674858
MB-0133,Immune-Modulated,0.14498501374056313
MB-0164,Proliferative,0.19992060322714408
MB-0165,Immune-Modulated,0.18855914520165046
MB-0166,Immune-Modulated,0.17286693565483288
MB-0176,Immune-Modulated,0.1457311252723755
MB-0179,Immune-Modulated,0.14506552426509192
MB-0189,Immune-Inactive,0.06508485683280162
MB-0194,Immune-Modulated,0.18899064561826473
MB-0198,Immune-Modulated,0.1890792118354658
MB-0201,Proliferative,0.16798668368505512
MB-0203,Proliferative,0.20682557481157401
MB-0218,Proliferative,0.16578381192264594
MB-0236,Immune-Modulated,0.1454582342438011
MB-0248,Immune-Modulated,0.17318689092031453
MB-0257,Immune-Modulated,0.14537168837699574
MB-0259,Immune-Inactive,0.06796652108777324
MB-0269,Immune-Modulated,0.08511969038600681
MB-0307,Immune-Modulated,0.14500423292234707
MB-0315,Immune-Modulated,0.14583314840360584
MB-0321,Immune-Inactive,0.07679454582899505
MB-0324,Proliferative,0.20883977009090648
MB-0352,Immune-Modulated,0.0822516013652877
MB-0358,Proliferative,0.1693388822349086
MB-0362,Immune-Modulated,0.14508715141141232
MB-0368,Immune-Modulated,0.14715423615115106
MB-0370,Immune-Modulated,0.14568591866300934
MB-0378,Proliferative,0.23342636230570757
MB-0393,Immune-Inactive,0.0659658368561791
MB-0400,Immune-Inactive,0.2066548097364675
MB-0401,Immune-Inactive,0.0642573238695183
MB-0406,Immune-Modulated,0.14517335349851793
MB-0408,Immune-Modulated,0.14498433246308354
MB-0413,Immune-Modulated,0.1471512769458263
MB-0420,Immune-Modulated,0.14577111824050956
MB-0424,Immune-Modulated,0.18901836975695263
MB-0426,Immune-Modulated,0.18935932466716787
MB-0434,Immune-Modulated,0.0925402482111512
MB-0438,Immune-Modulated,0.14797140392256655
MB-0440,Immune-Modulated,0.1461993185531984
MB-0445,Immune-Modulated,0.18924250022853312
MB-0446,Immune-Modulated,0.18858526486646116
MB-0448,Immune-Modulated,0.14726017461003618
MB-0453,Immune-Modulated,0.1457794158079838
MB-0458,Immune-Modulated,0.14813962929786367
MB-0464,Immune-Modulated,0.1461989146019849
MB-0466,Immune-Modulated,0.14557469156355515
MB-0468,Immune-Modulated,0.14566380269368276
MB-0469,Immune-Modulated,0.1453250535082295
MB-0476,Immune-Modulated,0.18854623733021342
MB-0481,Immune-Modulated,0.190282143029176
MB-0482,Immune-Modulated,0.16909986129338211
MB-0483,Immune-Modulated,0.14638911075481184
MB-0484,Immune-Modulated,0.16909986129338211
MB-0485,Immune-Modulated,0.16909986129338211
MB-0486,Immune-Modulated,0.15173056385331232
MB-0494,Immune-Modulated,0.15091108157541958
MB-0500,Immune-Modulated,0.14669514265239753
MB-0501,Immune-Modulated,0.14589603710985397
MB-0514,Immune-Modulated,0.14496305325169118
MB-0516,Immune-Modulated,0.18872221647600543
MB-0519,Immune-Modulated,0.14496349355182253
MB-0524,Immune-Modulated,0.1449713534277108
MB-0528,Immune-Modulated,0.14670375452104065
MB-0529,Immune-Modulated,0.14595447605675116
MB-0538,Immune-Modulated,0.14634475147589768
MB-0541,Immune-Modulated,0.16909986129338211
MB-0542,Immune-Modulated,0.14833070239752666
MB-0544,Immune-Modulated,0.1493109364053591
MB-0546,Immune-Modulated,0.16909986129338211
MB-0564,Immune-Modulated,0.18955631340813206
MB-0575,Immune-Modulated,0.16909986129338211
MB-0580,Immune-Modulated,0.14542609363938538
MB-0593,Immune-Modulated,0.16909986129338211
MB-0597,Immune-Modulated,0.16909986129338211
MB-0599,Immune-Modulated,0.14898590924759844
MB-0601,Immune-Modulated,0.1493214037495205
MB-0607,Immune-Modulated,0.1486174755561612
MB-0613,Immune-Modulated,0.1470734229869787
MB-0614,Immune-Modulated,0.14946718072757095
MB-0619,Immune-Modulated,0.19229501158039408
MB-0630,Immune-Modulated,0.15350854647622492
MB-0639,Immune-Modulated,0.14609402123024776
MB-0656,Immune-Modulated,0.15057263127803314
MB-0658,Immune-Modulated,0.14806343534898614
MB-0660,Immune-Modulated,0.14592815920093655
MB-0664,Immune-Modulated,0.14533009644940567
MB-0666,Immune-Modulated,0.15042055531032847
MB-7009,Immune-Modulated,0.1450155257211833
MB-7012,Immune-Modulated,0.1453532802382015
MB-7017,Immune-Modulated,0.14498900223752795
MB-7018,Immune-Modulated,0.14742494619929258
MB-7020,Immune-Inactive,0.0888412506250159
MB-7023,Immune-Inactive,0.06370962412377121
MB-7027,Immune-Inactive,0.06387290548482748
MB-7035,Immune-Modulated,0.07130740335519342
MB-7036,Immune-Inactive,0.15765312387526853
MB-7038,Immune-Modulated,0.14496595047421412
MB-7050,Immune-Modulated,0.1886624486869244
MB-7054,Immune-Modulated,0.14802005421569783
MB-7057,Immune-Modulated,0.1502732165710468
MB-7059,Immune-Modulated,0.14639267102714149
MB-7066,Immune-Modulated,0.14534253222951674
MB-7073,Immune-Modulated,0.14689479109481762
MB-7087,Immune-Modulated,0.14549062196232834
MB-7089,Immune-Modulated,0.14514836020613728
MB-7090,Immune-Modulated,0.1453248156724524
MB-7093,Immune-Modulated,0.14594587451036153
MB-7097,Immune-Modulated,0.14942879631781059
MB-7112,Proliferative,0.27895129270595065
MB-7119,Immune-Modulated,0.18866747057501335
MB-7121,Immune-Modulated,0.15046033659830685
MB-7135,Immune-Modulated,0.18866635900257897
MB-7148,Immune-Modulated,0.1900105753809945
MB-7155,Immune-Modulated,0.08357521774584321
MB-7158,Immune-Modulated,0.1460775039104594
MB-7159,Immune-Modulated,0.18927320201730213
MB-7163,Immune-Modulated,0.1498776120887162
MB-7165,Immune-Modulated,0.1918280819019458
MB-7182,Immune-Modulated,0.1450900489098075
MB-7187,Immune-Modulated,0.18849955592580075
MB-7189,Immune-Modulated,0.16909986129338211
MB-7194,Immune-Modulated,0.1468128637215531
MB-7205,Immune-Modulated,0.18916514827988068
MB-7207,Immune-Modulated,0.14583293896069643
MB-7208,Immune-Modulated,0.1902806931071821
MB-7226,Immune-Modulated,0.14521434972513356
MB-7256,Immune-Modulated,0.15068965127666242
MB-7258,Immune-Modulated,0.1473295618697241
MB-7267,Immune-Modulated,0.14496300263260442
MB-7270,Immune-Modulated,0.14873037223681893
MB-7275,Immune-Modulated,0.14857801001663998
MB-7281,Immune-Modulated,0.14660190020718386
MB-7283,Immune-Modulated,0.1473542600155763
